2792,通宇通讯,2717万,-46.81,7.53亿,-6.57,5.96亿,4207万,3643万,-597万,7.23亿,3335万,3330万
2775,文科园林,9680万,-28.87,12.61亿,-13.06,10.07亿,451万,6130万,3105万,11.36亿,1.12亿,1.11亿
2761,多喜爱,4.99亿,16.73,371亿,13.34,351亿,2447万,6.35亿,3.88亿,364亿,6.93亿,6.97亿
2749,国光股份,1.52亿,7.92,6.04亿,6.73,3.1亿,7059万,3072万,-951万,4.25亿,1.78亿,1.79亿
2734,利民股份,3.05亿,53.47,26.56亿,144.2,19.23亿,1.32亿,1.16亿,2801万,22.91亿,4.15亿,4.05亿
2716,*ST金贵,-13.11亿,-3354,6.06亿,-85.74,10.17亿,194万,4720万,2.31亿,13.03亿,-12.19亿,-13.11亿
2692,ST远程,944万,-78.7,11.16亿,-12.83,9.12亿,9657万,3480万,2275万,10.91亿,1158万,1200万
2671,龙泉股份,-8443万,-257.25,2.07亿,-60.64,1.61亿,3402万,1亿,1410万,3.2亿,-1.04亿,-1.05亿
2651,利君股份,6927万,-15.23,2.76亿,0.01,1.58亿,1557万,2613万,-597万,2.05亿,8185万,8191万
2638,*ST勤上,-1519万,-315.46,4.79亿,-16.93,3.95亿,3621万,5079万,-380万,4.84亿,-696万,-1266万
2635,安洁科技,4.26亿,139.83,13.53亿,-2.36,10.81亿,3704万,1.08亿,-1631万,13.14亿,-7.85亿,4.38亿
2610,爱康科技,2696万,-17.76,17.4亿,-31.08,14亿,5882万,8034万,1.54亿,17.23亿,2564万,3065万
2607,中公教育,-2.33亿,-147.26,28.08亿,-22.8,14.53亿,7.01亿,5.19亿,1.83亿,32.45亿,-2.24亿,-2.24亿
2572,索菲亚,3.43亿,-12.35,25.55亿,-18.7,15.97亿,3.05亿,2.6亿,1553万,22.85亿,4.4亿,4.38亿
2555,三七互娱,17亿,64.53,79.89亿,31.59,8.64亿,45.5亿,1.67亿,983万,62.57亿,19.98亿,19.93亿
2501,*ST利源,-5.59亿,29.7,3849万,-57.65,1.18亿,106万,3951万,3.82亿,5.48亿,-5.13亿,-5.59亿
2486,嘉麟杰,4255万,554.24,6.03亿,35.8,4.27亿,4233万,3717万,-171万,5.24亿,5645万,5626万
2466,天齐锂业,-6.97亿,-460.15,18.79亿,-27.44,9.34亿,1746万,1.56亿,10.38亿,21.63亿,-1.41亿,-1.29亿
2422,科伦药业,2.03亿,-72.15,72.31亿,-18.95,33.33亿,21.85亿,4.77亿,2.98亿,70.69亿,2.8亿,2.41亿
2408,齐翔腾达,4.75亿,34.39,99.11亿,-39.97,88.72亿,7943万,1.74亿,7560万,93.55亿,6.07亿,6.04亿
2404,嘉欣丝绸,5952万,-24.27,12.68亿,-27.36,10.4亿,6673万,6135万,245万,11.99亿,8025万,8138万
2375,亚厦股份,1.22亿,-34.67,38.81亿,-17.88,32.81亿,1.37亿,1.51亿,3816万,37.2亿,1.51亿,1.51亿
2371,北方华创,1.84亿,43.18,21.77亿,31.57,13.86亿,1.22亿,2.63亿,1795万,19.81亿,2.51亿,2.58亿
2361,神剑股份,3635万,-37.46,7.55亿,-22.27,6.04亿,3190万,3067万,1925万,7.29亿,4034万,4024万
2356,*ST赫美,-9161万,68.7,1.89亿,-61.73,1.2亿,3707万,6145万,1.05亿,3.3亿,-2.41亿,-2.52亿
2349,精华制药,1.04亿,-19.32,6.07亿,-4.66,3.14亿,7883万,5308万,819万,4.87亿,1.29亿,1.28亿
2291,星期六,-1.04亿,-270.76,9.15亿,2.73,6.47亿,1.4亿,5543万,3635万,9亿,-1.08亿,-1.1亿
2288,超华科技,-3946万,-222.68,5.32亿,-25.06,4.5亿,1654万,2666万,3645万,5.65亿,-1567万,-4199万
2266,浙富控股,3.73亿,53.99,31.41亿,4.66,22.58亿,1527万,1.6亿,8169万,26.85亿,7.44亿,7.42亿
2254,泰和新材,1.23亿,31.38,10.89亿,-14.19,8.25亿,3068万,3125万,911万,9.46亿,1.45亿,1.46亿
2250,联化科技,1.08亿,-54.67,21.19亿,-11.21,12.93亿,2892万,4.14亿,3198万,19.12亿,1.97亿,1.95亿
2229,鸿博股份,2163万,394.11,2.01亿,-30.72,1.52亿,1545万,3710万,75.42万,2.16亿,3172万,3175万
2212,南洋股份,-2.07亿,-161.99,23.76亿,-7.85,19.58亿,2.55亿,1.5亿,1426万,26.13亿,-2.49亿,-2.53亿
2205,国统股份,-2898万,-848.16,1.73亿,-24.16,1.29亿,600万,3206万,4507万,2.2亿,-2846万,-2490万
2199,东晶电子,222万,119.65,1.09亿,16.21,9374万,129万,974万,-225万,1.1亿,217万,222万
2198,嘉应制药,-289万,-120.82,2.08亿,-2.96,6118万,1.13亿,2760万,181万,2.08亿,-64.14万,-215万
